Date,Stock,Close
2026-01-01,360ONE,1172.891357421875
2026-01-02,360ONE,1193.1737060546875
2026-01-05,360ONE,1192.080078125
2026-01-06,360ONE,1180.1492919921875
2026-01-07,360ONE,1184.921630859375
2026-01-08,360ONE,1176.072998046875
2026-01-09,360ONE,1134.3153076171875
2026-01-12,360ONE,1123.975341796875
2026-01-13,360ONE,1130.239013671875
2026-01-14,360ONE,1142.5673828125
2026-01-16,360ONE,1190.7874755859375
2026-01-19,360ONE,1163.3468017578125
2026-01-20,360ONE,1123.08056640625
2026-01-21,360ONE,1088.978515625
2026-01-22,360ONE,1099.9150390625
2026-01-23,360ONE,1105.8804931640625
2026-01-27,360ONE,1107.2723388671875
2026-01-28,360ONE,1133.3211669921875
2026-01-29,360ONE,1129.244873046875
2026-01-30,360ONE,1127.7535400390625
2026-02-02,360ONE,1104.0908203125
2026-02-03,360ONE,1160.8612060546875
2026-02-04,360ONE,1159.369873046875
2026-02-05,360ONE,1134.2159423828125
2026-02-06,360ONE,1107.47119140625
2026-02-09,360ONE,1131.7303466796875
2026-02-10,360ONE,1155.6912841796875
2026-02-11,360ONE,1131.829833984375
2026-02-12,360ONE,1137.795166015625
2026-02-13,360ONE,1120.2967529296875
2026-02-16,360ONE,1113.1383056640625
2026-02-17,360ONE,1118.109375
2026-02-18,360ONE,1120.6943359375
2026-02-19,360ONE,1098.1253662109375
2026-02-20,360ONE,1094.2479248046875
2026-02-23,360ONE,1120.3961181640625
2026-02-24,360ONE,1106.97412109375
2026-02-25,360ONE,1125.2679443359375
2026-02-26,360ONE,1121.7880859375
2026-02-27,360ONE,1097.2305908203125
2026-03-02,360ONE,1068.497314453125
2026-03-04,360ONE,1060.245361328125
2026-03-05,360ONE,1074.7611083984375
2026-03-06,360ONE,1058.0579833984375
2026-03-09,360ONE,1029.1259765625
2026-03-10,360ONE,1049.70654296875
2026-03-11,360ONE,1042.0509033203125
2026-03-12,360ONE,1037.3780517578125
2026-03-13,360ONE,1021.4703979492188
2026-03-16,360ONE,1016.9963989257812
2026-03-17,360ONE,1037.3780517578125
2026-03-18,360ONE,1063.625732421875
2026-03-19,360ONE,1034.4947509765625
2026-03-20,360ONE,1034.59423828125
2026-03-23,360ONE,979.7128295898438
2026-03-24,360ONE,983.5902709960938
2026-03-25,360ONE,996.31640625
2026-03-27,360ONE,971.7589721679688
2026-03-30,360ONE,944.119384765625
2026-04-01,360ONE,947.5494995117188
2026-04-02,360ONE,928.4603271484376
2026-04-06,360ONE,924.0857543945312
2026-04-07,360ONE,923.8869018554688
2026-04-08,360ONE,966.0918579101562
2026-04-09,360ONE,992.3394775390624
2026-04-10,360ONE,1006.8055419921876
2026-04-13,360ONE,1003.6737060546876
2026-04-15,360ONE,1049.9053955078125
2026-04-16,360ONE,1070.2373046875
2026-04-17,360ONE,1106.8746337890625
2026-04-20,360ONE,1102.8480224609375
2026-04-21,360ONE,1101.953125
2026-04-22,360ONE,1048.811767578125
2026-04-23,360ONE,1046.177001953125
2026-04-24,360ONE,1033.5999755859375
2026-04-27,360ONE,1042.050048828125
2026-04-28,360ONE,1038.949951171875
2026-04-29,360ONE,1046.800048828125
2026-04-30,360ONE,1034.6500244140625
2026-05-01,360ONE,1034.6500244140625
2026-05-04,360ONE,1066.5
2026-05-05,360ONE,1070.699951171875
2026-05-06,360ONE,1084.0999755859375
2026-05-07,360ONE,1111.699951171875
2026-05-08,360ONE,1118.5
2026-05-11,360ONE,1115.300048828125
2026-05-12,360ONE,1078.0999755859375
2026-05-13,360ONE,1077.5
2026-05-14,360ONE,1102.0999755859375
2026-05-15,360ONE,1093.800048828125
2026-05-18,360ONE,1104.9000244140625
2026-05-19,360ONE,1098.4000244140625
2026-05-20,360ONE,1107.4000244140625
2026-05-21,360ONE,1111.800048828125
2026-05-22,360ONE,1112.4000244140625
2026-05-25,360ONE,1142.4000244140625
2026-05-26,360ONE,1125.300048828125
2026-05-27,360ONE,1112.0999755859375
2026-05-28,360ONE,1112.0999755859375
2026-05-29,360ONE,1104.5
2026-06-01,360ONE,1078.800048828125
2026-06-02,360ONE,1089.199951171875
2026-06-03,360ONE,1072.5
2026-06-04,360ONE,1071.800048828125
2026-06-05,360ONE,1073.9000244140625
2026-06-08,360ONE,1054.9000244140625
2026-06-09,360ONE,1075.0
2026-06-10,360ONE,1052.0
2026-01-01,ABB,5155.41455078125
2026-01-02,ABB,5184.296875
2026-01-05,ABB,5147.447265625
2026-01-06,ABB,5203.21923828125
2026-01-07,ABB,5277.416015625
2026-01-08,ABB,5000.54833984375
2026-01-09,ABB,5072.2548828125
2026-01-12,ABB,5027.43798828125
2026-01-13,ABB,4945.77197265625
2026-01-14,ABB,4914.8984375
2026-01-15,ABB,4914.8984375
2026-01-16,ABB,4852.65283203125
2026-01-19,ABB,4845.681640625
2026-01-20,ABB,4672.39013671875
2026-01-21,ABB,4688.3251953125
2026-01-22,ABB,4736.12939453125
2026-01-23,ABB,4675.3779296875
2026-01-27,ABB,4688.3251953125
2026-01-28,ABB,5022.95654296875
2026-01-29,ABB,5451.703125
2026-01-30,ABB,5555.77734375
2026-02-02,ABB,5445.7275390625
2026-02-03,ABB,5645.41064453125
2026-02-04,ABB,5731.55859375
2026-02-05,ABB,5746.4970703125
2026-02-06,ABB,5792.31005859375
2026-02-09,ABB,5791.81201171875
2026-02-10,ABB,5846.08984375
2026-02-11,ABB,5801.77099609375
2026-02-12,ABB,5764.921875
2026-02-13,ABB,5756.95458984375
2026-02-16,ABB,5864.0166015625
2026-02-17,ABB,5812.228515625
2026-02-18,ABB,5857.54296875
2026-02-19,ABB,5696.203125
2026-02-20,ABB,5962.61328125
2026-02-23,ABB,5893.396484375
2026-02-24,ABB,6031.33251953125
2026-02-25,ABB,6142.3779296875
